中分類ID,中分類,小分類ID,小分類,種別,通し番号 ,優先度,割り当て時間数（h）, DS-BoK KA番号,内容
D2,ビッグデータ・システム,1,規模に伴う課題,スキル,ACM-26-09,T1,0.5,KA02.01,過度の単純さではないが，単純さを強調することの重要性の理由を説明できる．
D2,ビッグデータ・システム,1,規模に伴う課題,スキル,ACM-26-10,T1,0.5,KA02.01,複雑さを軽減するための一般的な手順を説明できる．
D2,ビッグデータ・システム,1,規模に伴う課題,スキル,ACM-26-11,T1,1,KA02.01,アプリケーションのデータスケールと速度を，その記述をもとに評価できる．
D2,ビッグデータ・システム,1,規模に伴う課題,態度,ACM-26-12,T2,0.5,KA02.01,複数のスケールのレベルで計算タスクを実行できる．
D2,ビッグデータ・システム,1,規模に伴う課題,態度,ACM-26-13,T1,0.5,KA02.01,スケールにより生じる困難に適切に対応する．
D2,ビッグデータ・システム,2,ビッグデータを扱うコンピュータアーキテクチャ,知識,ACM-26-14,T1,0.5,KA02.01,スケールの問題を解決するため適切に振る舞う．
D2,ビッグデータ・システム,2,ビッグデータを扱うコンピュータアーキテクチャ,知識,ACM-27-01,E,0.5,KA02.02,効率よく，かつ，高速な入出力を支援する機構
D2,ビッグデータ・システム,2,ビッグデータを扱うコンピュータアーキテクチャ,知識,ACM-27-02,E,1,KA02.02,データ指向の高性能計算に関する概念と要求
D2,ビッグデータ・システム,2,ビッグデータを扱うコンピュータアーキテクチャ,知識,ACM-27-03,E,2,KA02.02,キャッシュコヒーレンスを含むメモリおよびキャッシュへの検討と理解
D2,ビッグデータ・システム,2,ビッグデータを扱うコンピュータアーキテクチャ,知識,ACM-27-04,E,2,KA02.02,マルチコア，グリッドコンピューティング，GPU，共有メモリ，分散メモリ，メモリ共有型計算，ベクター処理等様々な並列計算機の長所と限界の理解
D2,ビッグデータ・システム,2,ビッグデータを扱うコンピュータアーキテクチャ,知識,ACM-27-05,E,0.5,KA02.02,フリンによる並列計算機分類
D2,ビッグデータ・システム,2,ビッグデータを扱うコンピュータアーキテクチャ,知識,ACM-27-06,E,1,KA02.02,並列処理を支援する実装方式への理解
D2,ビッグデータ・システム,2,ビッグデータを扱うコンピュータアーキテクチャ,スキル,ACM-27-07,E,1,KA02.02,並列ストレージの階層構造
D2,ビッグデータ・システム,2,ビッグデータを扱うコンピュータアーキテクチャ,スキル,ACM-27-08,E,1,KA02.02,高速な入出力実現のための様々なアプローチの理解
D2,ビッグデータ・システム,2,ビッグデータを扱うコンピュータアーキテクチャ,スキル,ACM-27-09,E,1,KA02.02,高速な入出力実現のための課題の（定性的な）説明
D2,ビッグデータ・システム,2,ビッグデータを扱うコンピュータアーキテクチャ,スキル,ACM-27-10,E,2,KA02.02,様々な並列計算機アーキテクチャの比較，対照
D2,ビッグデータ・システム,2,ビッグデータを扱うコンピュータアーキテクチャ,スキル,ACM-27-11,E,2,KA02.02,アプリケーションにとって，いかなる並列計算機アーキテクチャが適切かの（定性的な）説明
D2,ビッグデータ・システム,2,ビッグデータを扱うコンピュータアーキテクチャ,態度,ACM-27-12,E,2,KA02.02,計算パターンおよびデータの特徴から得られる計算モデル，フレームワークにとって，適切なシステムアーキテクチャの選択
D2,ビッグデータ・システム,3,並列計算のフレームワーク,知識,ACM-27-13,E,0.5,KA02.02,データサイエンスアプリケーションを支援するハードウェア動向に関する造詣
D2,ビッグデータ・システム,3,並列計算のフレームワーク,知識,ACM-28-01,E,0.5,KA02.01,並列計算モデルの目的および定義
D2,ビッグデータ・システム,3,並列計算のフレームワーク,知識,ACM-28-02,E,1,KA02.01,モデルの分類
D2,ビッグデータ・システム,3,並列計算のフレームワーク,知識,ACM-28-03,E,2,KA02.01,分散システム
D2,ビッグデータ・システム,3,並列計算のフレームワーク,知識,ACM-28-04,E,2,KA02.01,グリッドサーチ（パラメタチューニング）
D2,ビッグデータ・システム,3,並列計算のフレームワーク,知識,ACM-28-05,E,2,KA02.01,（データ処理における）通信および調整のための繰り返し処理
D2,ビッグデータ・システム,3,並列計算のフレームワーク,スキル,ACM-28-06,E,1.5,KA02.01,タスク指向およびデータパラレルによる作業の分割における課題の理解
D2,ビッグデータ・システム,3,並列計算のフレームワーク,スキル,ACM-28-07,E,1,KA02.01,並列計算システムのモデル化
D2,ビッグデータ・システム,3,並列計算のフレームワーク,スキル,ACM-28-08,E,2,KA02.01,効率的かつ効果的な並列計算の評価
D2,ビッグデータ・システム,3,並列計算のフレームワーク,態度,ACM-28-09,E,2,KA02.01,大規模データを処理する並列システムの設計と開発の手法
D2,ビッグデータ・システム,4,分散データストレージ,知識,ACM-28-10,E,1,KA02.01,複雑（になりうる）システムの評価およびデザインへの造詣
D2,ビッグデータ・システム,4,分散データストレージ,知識,ACM-29-01,T2,0.5,KA02.02,多種多様なデバイスからなるストレージにおける大容量データの格納手法
D2,ビッグデータ・システム,4,分散データストレージ,知識,ACM-29-02,T2,0.5,KA02.02,階層ストレージ
D2,ビッグデータ・システム,4,分散データストレージ,知識,ACM-29-03,T2,1,KA02.02,クリーンかつコンシステントかつ典型的なデータへの理解
D2,ビッグデータ・システム,4,分散データストレージ,知識,ACM-29-04,T2,1,KA02.02,データの保守，保護
D2,ビッグデータ・システム,4,分散データストレージ,知識,ACM-29-05,T2,0.5,KA02.02,データの取得，抽出の課題
D2,ビッグデータ・システム,4,分散データストレージ,知識,ACM-29-06,T2,1,KA02.02,ハッシュ，フィルタリング，サンプリングを用いた技術における長所と限界への理解
D2,ビッグデータ・システム,4,分散データストレージ,スキル,ACM-29-07,T2,1,KA02.02,データのバックアップ
D2,ビッグデータ・システム,4,分散データストレージ,スキル,ACM-29-08,T2,1,KA02.02,ビッグデータに関するストレージ階層構造の役割の理解
D2,ビッグデータ・システム,4,分散データストレージ,スキル,ACM-29-09,T2,1,KA02.02,ビッグデータにおける冗長性の利点の概説
D2,ビッグデータ・システム,4,分散データストレージ,スキル,ACM-29-10,T2,1,KA02.02,ビッグデータにおける過剰な冗長性がシステムの効率を損なうことの説明
D2,ビッグデータ・システム,4,分散データストレージ,スキル,ACM-29-11,T2,1,KA02.02,ビッグデータアプリケーションのために，有用かつ最新の状態を確約するデータの保護と管理に関する手法の説明
D2,ビッグデータ・システム,4,分散データストレージ,スキル,ACM-29-12,E,2,KA02.02,スケーリングが容易に可能な分散データストレージシステムの開発
D2,ビッグデータ・システム,4,分散データストレージ,態度,ACM-29-13,E,2,KA02.02,スケーラビリティ，ユーザビリティ，効率およびセキュリティを担保したデータ指向システムにおけるバックアップ，マイグレーション，圧縮などの技術を考慮したストレージシステムの設計
D2,ビッグデータ・システム,5,並列プログラミング,知識,ACM-29-14,T2,1,KA02.02,ビッグデータアプリケーションを支援するストレージ機構の設計において有益な配置の創生
D2,ビッグデータ・システム,5,並列プログラミング,知識,ACM-30-01,T2,0.5,KA02.03,並行制御および並列処理および分散システム
D2,ビッグデータ・システム,5,並列プログラミング,知識,ACM-30-02,T2,0.5,KA02.03,オーバーヘッドによる並列処理の限界
D2,ビッグデータ・システム,5,並列プログラミング,知識,ACM-30-03,T2,1,KA02.03,並行制御および並列処理に関する異なる手法の理解
D2,ビッグデータ・システム,5,並列プログラミング,知識,ACM-30-04,T2,1,KA02.03,負荷平衡等を含むハードウェアアーキテクチャに適合した手法に関する並列アルゴリズムの理解
D2,ビッグデータ・システム,5,並列プログラミング,知識,ACM-30-05,T2,0.5,KA02.03,MapReduce等の典型的な並列プログラミングパラダイムの理解
D2,ビッグデータ・システム,5,並列プログラミング,スキル,ACM-30-06,T2,0.5,KA02.03,並列/並行アルゴリズムの複雑さの理解
D2,ビッグデータ・システム,5,並列プログラミング,スキル,ACM-30-07,T2,0.5,KA02.03,スケールに関する並行制御/並列処理の限界について説明
D2,ビッグデータ・システム,5,並列プログラミング,スキル,ACM-30-08,T2,0.5,KA02.03,特定のアルゴリズムにおける並列処理オーバーヘッドの理解
D2,ビッグデータ・システム,5,並列プログラミング,スキル,ACM-30-09,T2,1,KA02.03,データ指向並列プログラムの実装方式に関する理解
D2,ビッグデータ・システム,5,並列プログラミング,スキル,ACM-30-10,T2,2,KA02.03,データ処理およびデータスケールに対応したデータ指向並列計算システムの開発・運用
D2,ビッグデータ・システム,5,並列プログラミング,スキル,ACM-30-11,T2,2,KA02.03,データ指向並列プログラムの開発と最適化
D2,ビッグデータ・システム,5,並列プログラミング,態度,ACM-30-12,T2,2,KA02.03,並列プログラミングパラダイムに基づいたアルゴリズムの設計，実装と調整
D2,ビッグデータ・システム,5,並列プログラミング,態度,ACM-30-13,T2,0.5,KA02.03,特定の事例で過剰に生じる並列処理オーバヘッドの認識
D2,ビッグデータ・システム,6,ビッグデータアプリケーション開発技術,知識,ACM-30-14,T2,0.5,KA02.03,事例に併せた並列システムに関する理解とその深化
D2,ビッグデータ・システム,6,ビッグデータアプリケーション開発技術,知識,ACM-31-01,T2,0.5,KA02.05,ビッグデータ処理を支援する技術の必要性
D2,ビッグデータ・システム,6,ビッグデータアプリケーション開発技術,知識,ACM-31-02,T2,0.5,KA02.05,ハッシュ処理（ハッシング）
D2,ビッグデータ・システム,6,ビッグデータアプリケーション開発技術,知識,ACM-31-03,T2,0.5,KA02.05,サンプリング，フィルタリング
D2,ビッグデータ・システム,6,ビッグデータアプリケーション開発技術,知識,ACM-31-04,T2,0.5,KA02.05,データの特性と概要
D2,ビッグデータ・システム,6,ビッグデータアプリケーション開発技術,スキル,ACM-31-05,T2,0.5,KA02.05,ハッシング，サンプリング，フィルタリングの限界
D2,ビッグデータ・システム,6,ビッグデータアプリケーション開発技術,スキル,ACM-31-06,T2,0.5,KA02.05,ビッグデータにおけるハッシングの役割の例示
D2,ビッグデータ・システム,6,ビッグデータアプリケーション開発技術,スキル,ACM-31-07,T2,0.5,KA02.05,サンプリングとフィルタリングを用いる際の基準について説明できる
D2,ビッグデータ・システム,6,ビッグデータアプリケーション開発技術,スキル,ACM-31-08,T2,1,KA02.05,ビッグデータを利用するアプリケーションにおいて，指定されたガイドラインを遵守して，標本選択の実践
D2,ビッグデータ・システム,6,ビッグデータアプリケーション開発技術,スキル,ACM-31-09,T2,0.5,KA02.05,具体的な利用事例に基づいた，様々なフィルタリング手法について考察
D2,ビッグデータ・システム,6,ビッグデータアプリケーション開発技術,態度,ACM-31-10,T2,2,KA02.05,利用可能な記憶容量と期待される精度に基づき，データ構造を設計し，その性能を解析
D2,ビッグデータ・システム,7,クラウドコンピューティング,知識,ACM-31-11,T2,0.5,KA02.05,サンプリングおよびフィルタリング実行時のバイアスなどの陥穽への気づき
D2,ビッグデータ・システム,7,クラウドコンピューティング,知識,ACM-32-01,T2,0.5,KA02.03,クラウドコンピューティングとその利点に関する理解
D2,ビッグデータ・システム,7,クラウドコンピューティング,知識,ACM-32-02,T2,0.5,KA02.03,データセンタのアーキテクチャ
D2,ビッグデータ・システム,7,クラウドコンピューティング,知識,ACM-32-03,T2,0.5,KA02.03,クラウドコンピューティングに関する課題
D2,ビッグデータ・システム,7,クラウドコンピューティング,知識,ACM-32-04,T2,0.5,KA02.03,クラウドコンピューティングを支援する異なる手法の理解
D2,ビッグデータ・システム,7,クラウドコンピューティング,知識,ACM-32-05,T2,1,KA02.03,分散ファイルシステム
D2,ビッグデータ・システム,7,クラウドコンピューティング,知識,ACM-32-06,T2,0.5,KA02.03,ビッグデータアプリケーションを支援するクラウドサービス
D2,ビッグデータ・システム,7,クラウドコンピューティング,知識,ACM-32-07,T2,1,KA02.03,仮想化技術
D2,ビッグデータ・システム,7,クラウドコンピューティング,スキル,ACM-32-08,T2,1,KA02.03,クラウドコンピューティング，クラウドストレージ，仮想マシン等のクラウド技術に関するセキュリティ課題
D2,ビッグデータ・システム,7,クラウドコンピューティング,スキル,ACM-32-09,T2,1,KA02.03,クラウドシステムで実行するタスクの概要の理解
D2,ビッグデータ・システム,7,クラウドコンピューティング,スキル,ACM-32-10,T2,2,KA02.03,データセンターの設計
D2,ビッグデータ・システム,7,クラウドコンピューティング,スキル,ACM-32-11,T2,2,KA02.03,ビッグデータアプリケーション支援のために提供されている様々なクラウドサービスの理解
D2,ビッグデータ・システム,7,クラウドコンピューティング,スキル,ACM-32-12,T2,2,KA02.03,特定のビッグデータアプリケーションを支援するためのクラウドサービスの選定と適用
D2,ビッグデータ・システム,7,クラウドコンピューティング,態度,ACM-32-13,T2,2,KA02.03,クラウドに関するセキュリティ戦略の設計
D2,ビッグデータ・システム,7,クラウドコンピューティング,態度,ACM-32-14,T2,1,KA02.03,クラウドサービスの利用に関する責任ある行動姿勢
D2,ビッグデータ・システム,8,複雑さの理論,知識,ACM-32-15,T2,1,KA02.03,アマゾン，グーグル，マイクロソフト等現在利用可能な異なるクラウドサービスの理解
D2,ビッグデータ・システム,8,複雑さの理論,知識,ACM-33-01,E,1,KA02.01,アルゴリズムの効率性，計算量に関する課題
D2,ビッグデータ・システム,8,複雑さの理論,知識,ACM-33-02,E,1,KA02.01,ビッグデータという観点からの重要性，並行制御/並列処理の観点からの利用として，計算量に関する理解
D2,ビッグデータ・システム,8,複雑さの理論,知識,ACM-33-03,E,0.5,KA02.01,複雑さの概念に関する限界
D2,ビッグデータ・システム,8,複雑さの理論,スキル,ACM-33-04,E,1,KA02.01,並行制御/並列処理も含む一般的に利用されているアルゴリズムにおける複雑さの評価
D2,ビッグデータ・システム,8,複雑さの理論,スキル,ACM-33-05,E,1,KA02.01,効率性を考慮する際，数学的解析だけでは不十分な理由の説明
D2,ビッグデータ・システム,8,複雑さの理論,スキル,ACM-33-06,E,2,KA02.01,計算機資源の制限，時間の制限およびデータサイズ等から課題を洗い出し，複雑さの観点から与えられた条件内で，その課題が解決可能，あるいは，おおよそ可能かどうかを解析
D2,ビッグデータ・システム,8,複雑さの理論,スキル,ACM-33-07,E,2,KA02.01,ビッグデータ処理に用いられるアルゴリズムの効率性をいかに評価するかについて具体的に例示
D2,ビッグデータ・システム,8,複雑さの理論,態度,ACM-33-08,E,2,KA02.01,ビッグデータを含む特定のアプリケーションに適切なアルゴリズムを選択し，スケーリングの課題に関し説明
D2,ビッグデータ・システム,8,複雑さの理論,態度,ACM-33-09,E,0.5,KA02.01,複雑性に関する造詣と，積極的に取り組む態度を醸成
D2,ビッグデータ・システム,9,ビッグデータアプリケーションのためのソフトウェア支援,知識,ACM-33-10,E,0.5,KA02.01,複雑さによる限界についての認識
D2,ビッグデータ・システム,9,ビッグデータアプリケーションのためのソフトウェア支援,知識,ACM-34-01,T2,1,KA02.05,ビッグデータアプリケーションを支援するためのプログラミング環境の必要性とその理解
D2,ビッグデータ・システム,9,ビッグデータアプリケーションのためのソフトウェア支援,知識,ACM-34-02,T2,1,KA02.05,自動スケーリングおよびサーバーレスコンピューティングの概念
D2,ビッグデータ・システム,9,ビッグデータアプリケーションのためのソフトウェア支援,スキル,ACM-34-03,T2,1,KA02.05,ビッグデータという観点からデータの転送，解析，機械学習への支援のための，より精緻なウェブサービスの可能性について考察
D2,ビッグデータ・システム,9,ビッグデータアプリケーションのためのソフトウェア支援,スキル,ACM-34-04,T2,2,KA02.05,自動スケーリングおよびサーバーレスコンピューティングの利用についての比較，対照
D2,ビッグデータ・システム,9,ビッグデータアプリケーションのためのソフトウェア支援,スキル,ACM-34-05,T2,2,KA02.05,自動スケーリングと負荷バランスの関係性についての理解
D2,ビッグデータ・システム,9,ビッグデータアプリケーションのためのソフトウェア支援,スキル,ACM-34-06,T2,1,KA02.05,ストリーミングアプリケーションにおけるバッファサイズの重要性について概説
D2,ビッグデータ・システム,9,ビッグデータアプリケーションのためのソフトウェア支援,態度,ACM-34-07,T2,2,KA02.05,顔認識およびビデオストリーミングのアプリケーションを容易にするウェブサービスの理解
D2,ビッグデータ・システム,9,ビッグデータアプリケーションのためのソフトウェア支援,態度,ACM-34-08,T2,0.5,KA02.05,考えられうる偏り，その他の欠如なども考慮したウェブサービス利用に関する省察的（リフレクティブ）アプローチの推奨
D2,ビッグデータ・システム,9,ビッグデータアプリケーションのためのソフトウェア支援,態度,ACM-34-09,T2,0.5,KA02.05,ビッグデータアプリケーションに関する理解の深化
E1,セキュリティとプライバシー,1,セキュリティ基礎,知識,ACM-34-10,T2,0.5,KA02.05,ビッグデータアプリケーションという観点から，適切な単純さについて注視を推奨
E1,セキュリティとプライバシー,1,セキュリティ基礎,知識,ACM-08-01,T1,0.27,KA03.03,個人の間，組織間．あるいは政府間のプライバシー要求の関係
E1,セキュリティとプライバシー,1,セキュリティ基礎,知識,ACM-08-02,T1,0.27,KA03.03,国境を越えたプライバシーとデータセキュリティに関する法律と責任
E1,セキュリティとプライバシー,1,セキュリティ基礎,スキル,ACM-08-03,T1,0.27,KA03.03,国際的に関与している組織が，事業を行う管轄区域全体でのプライバシーに関する法，規制，および標準の差異をどのくらい考慮すべきかに関する理解．
E1,セキュリティとプライバシー,1,セキュリティ基礎,スキル,ACM-08-04,T1,0.27,KA03.03,国際的，国内的，地域的に存在している司法の構造という文脈で，組織がサイバー攻撃から情報システムを保護するために，法と技術がいかに関わるかを説明できること．
E1,セキュリティとプライバシー,1,セキュリティ基礎,スキル,ACM-08-05,T1,0.27,KA03.03,一般データ保護規則（GDPR）の要求と，個人データの転送を可能にする米国と英国間などの国家間のプライバシー保護に関する合意を説明できること．
E1,セキュリティとプライバシー,1,セキュリティ基礎,スキル,ACM-08-06,T1,0.27,KA03.03,米国連邦取引委員会のセクション5，各州のデータセキュリティ法，各州のデータ侵害通知法，医療保険の相互運用性説明法（HIPAA），グラムリーチブライリー法（GLBA），およびUS-CERTによる情報共有，2015年のサイバーセキュリティ法，その他の法律が，データセキュリティにどのような影響を与えるかを説明できること．
E1,セキュリティとプライバシー,1,セキュリティ基礎,スキル,DS-115,T1,1,KA02.04,セキュリティの３要素（機密性，可用性，完全性）について具体的な事例を用いて説明できる．
E1,セキュリティとプライバシー,1,セキュリティ基礎,スキル,DS-116,T1,0.5,KA02.04,マルウェアなどによる深刻なリスクの種類（消失，漏洩，サービスの停止など）を常に意識している．
E1,セキュリティとプライバシー,1,セキュリティ基礎,スキル,DS-117,E,1.5,KA02.04,OS，ネットワーク，アプリケーション，データに対するユーザーごとのアクセスレベルを手順に従い設定できる．
E1,セキュリティとプライバシー,1,セキュリティ基礎,スキル,DS-118,T1,2,KA02.04,暗号化されていないデータは，不正取得された際に容易に不正利用される恐れがあることを理解し，データの機密度合いに応じてソフトウェアを使用した暗号化と復号ができる．
E1,セキュリティとプライバシー,1,セキュリティ基礎,スキル,DS-119,E,0.5,KA02.04,なりすましや偽造された文書でないことを証明するために電子署名と公開鍵認証基盤（PKI：public key infrastructure）が必要であることを理解している．
E1,セキュリティとプライバシー,1,セキュリティ基礎,態度,DS-120,E,2,KA02.04,ハッシュ関数を用いて，データの改ざんを検出できる．
E1,セキュリティとプライバシー,1,セキュリティ基礎,態度,ACM-08-07,T1,0.27,KA03.03,データガバナンスのポリシーとアクションにおいて倫理的に行動する．
E1,セキュリティとプライバシー,1,セキュリティ基礎,態度,ACM-08-08,T1,0.27,KA03.03,セキュリティ，およびプライバシーの障害によって生ずるデータ損失の害について間違いの無い態度をとる．
E1,セキュリティとプライバシー,2,プライバシー保護,知識,ACM-08-09,T1,0.27,KA03.03,データの法的および社会的責任に関して最高の倫理基準を維持している．
E1,セキュリティとプライバシー,2,プライバシー保護,知識,ACM-43-01,T1,0.33,KA02.04,ソーシャルエンジニアリングやソーシャルメディアを利用することで暴かれる機微データ
E1,セキュリティとプライバシー,2,プライバシー保護,知識,ACM-43-02,T1,0.33,KA02.04,プライバシー権と情報発信による透明性の必要性のトレードオフ
E1,セキュリティとプライバシー,2,プライバシー保護,知識,ACM-43-03,T1,0.33,KA02.04,分析ツールを用いて得た情報の開示，送信，共有に関する倫理的責任
E1,セキュリティとプライバシー,2,プライバシー保護,知識,ACM-44-01,T1,0.33,KA02.04,どのようなチャネルでも送信する前にデータを暗号化することの重要性
E1,セキュリティとプライバシー,2,プライバシー保護,知識,ACM-44-02,T1,0.33,KA02.04,統計解析のために暗号化されたデータと暗号化されていないデータを使用する場合の計算時間のトレードオフ
E1,セキュリティとプライバシー,2,プライバシー保護,知識,ACM-45-01,T1,0.33,KA02.04,認証，権限，アクセス制御，データプライバシーを実現するための概念と技術
E1,セキュリティとプライバシー,2,プライバシー保護,知識,ACM-45-02,T1,0.33,KA02.04,機密性，完全性，可用性を最大化する階層化防御システム
E1,セキュリティとプライバシー,2,プライバシー保護,知識,ACM-46-01,T1,0.33,KA02.04,安全でないチャネルで安全な通信を可能にするセキュリティプロトコルの重要性
E1,セキュリティとプライバシー,2,プライバシー保護,知識,ACM-46-02,T1,0.33,KA02.04,安全な伝送路上における個別通信を可能とするプライバシープロトコルの重要性
E1,セキュリティとプライバシー,2,プライバシー保護,スキル,ACM-46-03,T1,0.33,KA02.04,アプリケーションとサーバー間の秘密通信を保証できるインターネット/通信プロトコル
E1,セキュリティとプライバシー,2,プライバシー保護,スキル,ACM-43-06,T1,0.33,KA02.04,データ入力時に生じるデータの機微に関する理解を示す．
E1,セキュリティとプライバシー,2,プライバシー保護,スキル,ACM-43-07,T1,0.33,KA02.04,情報処理を行う前にデータクリーニングを検討しなければならない場合についてのシナリオを示す．
E1,セキュリティとプライバシー,2,プライバシー保護,スキル,ACM-43-08,T1,0.33,KA02.04,データの範囲指定や保護技術など，生データを処理する際にデータプライバシーを確保するための技術の理解
E1,セキュリティとプライバシー,2,プライバシー保護,スキル,ACM-44-06,T1,0.33,KA02.04,計算コストを考慮しながら，データ漏洩のリスクを低減するための暗号化ツールやメカニズムを特定できる．
E1,セキュリティとプライバシー,2,プライバシー保護,スキル,ACM-44-07,T1,1,KA02.04,プライバシー要件に影響を与えるデータ暗号化プロセスについて，個人，組織，政府機関などのさまざまな対象者を訓練できる．
E1,セキュリティとプライバシー,2,プライバシー保護,スキル,ACM-44-08,T1,0.33,KA02.04,メッセージ認証符号，デジタル署名，認証された暗号化，ハッシュツリーなど，プライバシーを提供するための暗号技術の使用について例示できる．
E1,セキュリティとプライバシー,2,プライバシー保護,スキル,ACM-44-09,T1,0.33,KA02.04,単純なテキストデータおよび暗号化されたデータの処理コストのトレードオフについて理解している．
E1,セキュリティとプライバシー,2,プライバシー保護,スキル,ACM-45-06,T1,0.33,KA02.04,システムのデータプライバシーがシステムのセキュリティにどのような影響を与えるかについて説明できる．
E1,セキュリティとプライバシー,2,プライバシー保護,態度,ACM-45-07,T1,1,KA02.04,データの透明性とデータプライバシーのトレードオフについて議論できる．
E1,セキュリティとプライバシー,2,プライバシー保護,態度,ACM-43-11,T1,0.33,KA02.04,いかなる組織（実体）に対してもデータの提供はデータプライバシーの侵害につながる可能性があることについての倫理的な側面からの理解
E1,セキュリティとプライバシー,2,プライバシー保護,態度,ACM-43-12,T1,0.33,KA02.04,適切なデータの扱いが公的にも私的にも問題を生じることを理解しており，コンピュータや伝送路を通じて，正確かつ倫理的にデータを扱っている．
E1,セキュリティとプライバシー,2,プライバシー保護,態度,ACM-44-11,T1,0.33,KA02.04,暗号化のために異なる手法が必要なことに敏感である．
E1,セキュリティとプライバシー,3,データセキュリティ,知識,ACM-45-09,T1,0.33,KA02.04,与えられたコンピュータシステム内の情報を保護するために慎重に行動している．
E1,セキュリティとプライバシー,3,データセキュリティ,知識,ACM-47-01,T1,0.33,KA02.04,定性的指標
E1,セキュリティとプライバシー,3,データセキュリティ,知識,ACM-47-02,T1,0.33,KA02.04,データ資産に対するセキュリティの重要性
E1,セキュリティとプライバシー,3,データセキュリティ,知識,ACM-47-03,T1,0.33,KA02.04,必要とされる様々な種類のセキュリティ目的
E1,セキュリティとプライバシー,3,データセキュリティ,知識,ACM-47-04,T1,0.33,KA02.04,データソースと資産
E1,セキュリティとプライバシー,3,データセキュリティ,知識,ACM-47-05,T1,0.33,KA02.04,データ資産へのアクセス制御とアクセス管理
E1,セキュリティとプライバシー,3,データセキュリティ,知識,ACM-50-01,T1,0.33,KA02.04,データ駆動型アプリケーションにおけるネットワーク上でのデータトランザクションに関する洞察
E1,セキュリティとプライバシー,3,データセキュリティ,知識,ACM-50-02,T1,0.33,KA02.04,ネットワークとWebのプロトコル
E1,セキュリティとプライバシー,3,データセキュリティ,知識,ACM-50-03,T1,0.33,KA02.04,通信プロトコルにおける利用可能かつ（または）稼働可能なセキュリティモジュール
E1,セキュリティとプライバシー,3,データセキュリティ,スキル,ACM-50-04,T1,0.33,KA02.04,データネットワーク及びWeb上での操作（格納，検索，リモート計算）
E1,セキュリティとプライバシー,3,データセキュリティ,スキル,ACM-47-09,T1,0.33,KA02.04,アプリケーションにおけるデータの流れを理解できる．
E1,セキュリティとプライバシー,3,データセキュリティ,スキル,ACM-47-10,T1,1,KA02.04,達成すべき重要なセキュリティ目標を導き出せる．
E1,セキュリティとプライバシー,3,データセキュリティ,スキル,ACM-47-11,T1,1,KA02.04,どのデータ資産を保護対象とすべきか，理由を説明できる．
E1,セキュリティとプライバシー,3,データセキュリティ,スキル,ACM-50-05,T1,1,KA02.04,セキュリティを実現するために，通信プロトコルを解析，調整できる．
E1,セキュリティとプライバシー,3,データセキュリティ,スキル,ACM-50-06,T1,0.33,KA02.04,ネットワークとWebのプロトコルの特性と動作原理を説明できる．
E1,セキュリティとプライバシー,3,データセキュリティ,態度,ACM-50-07,T1,0.33,KA02.04,ネットワークおよびWeb上の様々な実体間でデータ通信を行う方法を理解している．
E1,セキュリティとプライバシー,4,データ一貫性,知識,ACM-50-08,T1,0.33,KA02.04,ネットワーク/ウェブプロトコルにおけるセキュリティ対策に対するコミットメント
E1,セキュリティとプライバシー,4,データ一貫性,知識,ACM-51-01,T1,0.33,KA02.04,論理的一貫性の概念
E1,セキュリティとプライバシー,4,データ一貫性,知識,ACM-51-02,T1,0.33,KA02.04,データベースシステムにおける一貫性制約の種類
E1,セキュリティとプライバシー,4,データ一貫性,知識,ACM-51-03,T1,0.33,KA02.04,エンティティの一貫性，参照一貫性，ドメインの一貫性，ユーザー定義の一貫性
E1,セキュリティとプライバシー,4,データ一貫性,知識,ACM-52-01,T1,0.33,KA02.04,物理的一貫性の概念
E1,セキュリティとプライバシー,4,データ一貫性,知識,ACM-52-02,T1,0.33,KA02.04,RAID，冗長ハードウェア，無停電電源装置，エラー訂正メモリ，シビアクラスタなど，データの一貫性を確保するための物理的，ハードウェア的な方法
E1,セキュリティとプライバシー,4,データ一貫性,知識,ACM-53-01,T1,0.33,KA02.04,ヒューマンエラー，ソフトウェアエラー，伝送エラー，マルウェア，内部者の脅威，サイバー攻撃，および侵害されたハードウェアを含む一般的なデータ一貫性に対する脅威
E1,セキュリティとプライバシー,4,データ一貫性,知識,ACM-53-02,T1,0.33,KA02.04,データおよび情報の改ざん
E1,セキュリティとプライバシー,4,データ一貫性,知識,ACM-53-03,T1,0.33,KA02.04,データの出所保証
E1,セキュリティとプライバシー,4,データ一貫性,知識,ACM-54-01,T1,0.33,KA02.04,一貫性を保持するハッシュアルゴリズムの役割
E1,セキュリティとプライバシー,4,データ一貫性,知識,ACM-54-02,T1,0.33,KA02.04,メッセージ認証符号（MACs）とその派生符号の役割
E1,セキュリティとプライバシー,4,データ一貫性,知識,ACM-54-03,T1,0.33,KA02.04,一貫性を実現するための巡回冗長検査（CRC）とチェックサム
E1,セキュリティとプライバシー,4,データ一貫性,スキル,ACM-54-04,T1,0.33,KA02.04,電子署名の仕組み（RSAおよびECDSA）
E1,セキュリティとプライバシー,4,データ一貫性,スキル,ACM-51-04,T1,0.33,KA02.04,論理的一貫性の概念を説明できる．
E1,セキュリティとプライバシー,4,データ一貫性,スキル,ACM-52-03,T1,0.33,KA02.04,物理的一貫性の概念を説明できる．
E1,セキュリティとプライバシー,4,データ一貫性,スキル,ACM-52-04,T1,0.33,KA02.04,物理的一貫性を確保するための物理的およびハードウェアによる方法を説明できる．
